a,b,method,samples,excess_risk
1.5,1.5,constant+average,2000,2.3158209938014695e-06
1.5,1.5,constant+average,2035,2.311607822705517e-06
1.5,1.5,constant+average,2167,2.2959517727095414e-06
1.5,1.5,constant+average,2307,2.2797398294106106e-06
1.5,1.5,constant+average,2457,2.262802699790923e-06
1.5,1.5,constant+average,2616,2.2453197205332927e-06
1.5,1.5,constant+average,2785,2.2272467637150364e-06
1.5,1.5,constant+average,2966,2.2084484697323018e-06
1.5,1.5,constant+average,3000,2.204979642588374e-06
1.5,1.5,constant+average,3158,2.1891106431848854e-06
1.5,1.5,constant+average,3363,2.169116763498022e-06
1.5,1.5,constant+average,3581,2.1485590220409387e-06
1.5,1.5,constant+average,3813,2.127437237747519e-06
1.5,1.5,constant+average,4060,2.10576066448098e-06
1.5,1.5,constant+average,4323,2.0835473540637033e-06
1.5,1.5,constant+average,4603,2.060823398542274e-06
1.5,1.5,constant+average,4901,2.0376220635974452e-06
1.5,1.5,constant+average,5000,2.030127536156884e-06
1.5,1.5,constant+average,5218,2.0139828310815674e-06
1.5,1.5,constant+average,5556,1.989880666958434e-06
1.5,1.5,constant+average,5916,1.9653739900313404e-06
1.5,1.5,constant+average,6300,1.940460639558306e-06
1.5,1.5,constant+average,6708,1.9152728678689407e-06
1.5,1.5,constant+average,7142,1.8898164661296224e-06
1.5,1.5,constant+average,7605,1.8640542911600771e-06
1.5,1.5,constant+average,8000,1.8431246498777181e-06
1.5,1.5,constant+average,8098,1.8380728390192906e-06
1.5,1.5,constant+average,8622,1.8119545666192058e-06
1.5,1.5,constant+average,9181,1.7856398171241786e-06
1.5,1.5,constant+average,9776,1.75922419604068e-06
1.5,1.5,constant+average,10000,1.7496735064247809e-06
1.5,1.5,constant+average,10409,1.7327548411573397e-06
1.5,1.5,constant+average,11083,1.706242161831871e-06
1.5,1.5,constant+average,11801,1.679706049156984e-06
1.5,1.5,constant+average,12566,1.653173768432731e-06
1.5,1.5,constant+average,13380,1.6267094892958693e-06
1.5,1.5,constant+average,14247,1.6003140875826953e-06
1.5,1.5,constant+average,15170,1.574026382567182e-06
1.5,1.5,constant+average,16153,1.5478602481563928e-06
1.5,1.5,constant+average,17199,1.5218600762524224e-06
1.5,1.5,constant+average,18314,1.4960011902256593e-06
1.5,1.5,constant+average,19500,1.4703581110434415e-06
1.5,1.5,constant+average,20000,1.4600690229206457e-06
1.5,1.5,constant+average,20763,1.4449170968613477e-06
1.5,1.5,constant+average,22109,1.419676048643045e-06
1.5,1.5,constant+average,23541,1.3946923300579194e-06
1.5,1.5,constant+average,25066,1.3699531669819521e-06
1.5,1.5,constant+average,26690,1.345470786521105e-06
1.5,1.5,constant+average,28419,1.3212612220510586e-06
1.5,1.5,constant+average,30260,1.297330321002e-06
1.5,1.5,constant+average,32221,1.2736770645614801e-06
1.5,1.5,constant+average,34308,1.2503285309340212e-06
1.5,1.5,constant+average,36531,1.2272702166365324e-06
1.5,1.5,constant+average,38897,1.204524989347634e-06
1.5,1.5,constant+average,41417,1.1820804710198084e-06
1.5,1.5,constant+average,44101,1.1599408467810987e-06
1.5,1.5,constant+average,46958,1.1381217097121942e-06
1.5,1.5,constant+average,50000,1.1166186851553113e-06
1.5,1.5,1/sqrt(t)+average,100,2.8172853051043427e-06
1.5,1.5,1/sqrt(t)+average,106,2.8178282438173906e-06
1.5,1.5,1/sqrt(t)+average,113,2.8182938809696876e-06
1.5,1.5,1/sqrt(t)+average,121,2.8186352475573477e-06
1.5,1.5,1/sqrt(t)+average,129,2.81880227944422e-06
1.5,1.5,1/sqrt(t)+average,137,2.818819859729339e-06
1.5,1.5,1/sqrt(t)+average,146,2.8186862918445e-06
1.5,1.5,1/sqrt(t)+average,155,2.8184132231069894e-06
1.5,1.5,1/sqrt(t)+average,165,2.8179699021060746e-06
1.5,1.5,1/sqrt(t)+average,176,2.8173373565088217e-06
1.5,1.5,1/sqrt(t)+average,187,2.8165760427189183e-06
1.5,1.5,1/sqrt(t)+average,199,2.815621380109217e-06
1.5,1.5,1/sqrt(t)+average,212,2.814463999394673e-06
1.5,1.5,1/sqrt(t)+average,226,2.813097865699474e-06
1.5,1.5,1/sqrt(t)+average,241,2.8115199036210894e-06
1.5,1.5,1/sqrt(t)+average,256,2.8098443223771434e-06
1.5,1.5,1/sqrt(t)+average,273,2.8078486705048386e-06
1.5,1.5,1/sqrt(t)+average,291,2.805644777711202e-06
1.5,1.5,1/sqrt(t)+average,310,2.8032374078257817e-06
1.5,1.5,1/sqrt(t)+average,330,2.800632381697576e-06
1.5,1.5,1/sqrt(t)+average,351,2.7978363018145285e-06
1.5,1.5,1/sqrt(t)+average,374,2.7947198614796973e-06
1.5,1.5,1/sqrt(t)+average,398,2.791423924576082e-06
1.5,1.5,1/sqrt(t)+average,424,2.7878184104957666e-06
1.5,1.5,1/sqrt(t)+average,451,2.7840500926361607e-06
1.5,1.5,1/sqrt(t)+average,480,2.7799886634006764e-06
1.5,1.5,1/sqrt(t)+average,511,2.775643656112315e-06
1.5,1.5,1/sqrt(t)+average,545,2.7708862600924123e-06
1.5,1.5,1/sqrt(t)+average,580,2.7660084603714227e-06
1.5,1.5,1/sqrt(t)+average,617,2.760882690327338e-06
1.5,1.5,1/sqrt(t)+average,657,2.7553850491033768e-06
1.5,1.5,1/sqrt(t)+average,700,2.749532915784205e-06
1.5,1.5,1/sqrt(t)+average,745,2.7434785022668296e-06
1.5,1.5,1/sqrt(t)+average,794,2.7369717802825273e-06
1.5,1.5,1/sqrt(t)+average,845,2.7302975744321924e-06
1.5,1.5,1/sqrt(t)+average,900,2.7232136496135592e-06
1.5,1.5,1/sqrt(t)+average,958,2.715871302828282e-06
1.5,1.5,1/sqrt(t)+average,1000,2.7106357703077494e-06
1.5,1.5,1/sqrt(t)+average,1020,2.7081664200818076e-06
1.5,1.5,1/sqrt(t)+average,1086,2.7001247257393005e-06
1.5,1.5,1/sqrt(t)+average,1157,2.6916535562184753e-06
1.5,1.5,1/sqrt(t)+average,1232,2.6829009690949378e-06
1.5,1.5,1/sqrt(t)+average,1311,2.6738910309246904e-06
1.5,1.5,1/sqrt(t)+average,1396,2.664426756472545e-06
1.5,1.5,1/sqrt(t)+average,1487,2.6545465040525612e-06
1.5,1.5,1/sqrt(t)+average,1583,2.6443919544409445e-06
1.5,1.5,1/sqrt(t)+average,1686,2.6337874493049515e-06
1.5,1.5,1/sqrt(t)+average,1795,2.62287453691836e-06
1.5,1.5,1/sqrt(t)+average,1911,2.611589911687431e-06
1.5,1.5,1/sqrt(t)+average,2000,2.603149384986669e-06
1.5,1.5,1/sqrt(t)+average,2035,2.599879676569628e-06
1.5,1.5,1/sqrt(t)+average,2167,2.5877893324121847e-06
1.5,1.5,1/sqrt(t)+average,2307,2.575361994742785e-06
1.5,1.5,1/sqrt(t)+average,2457,2.5624690820419988e-06
1.5,1.5,1/sqrt(t)+average,2616,2.5492469117317595e-06
1.5,1.5,1/sqrt(t)+average,2785,2.5356595809594207e-06
1.5,1.5,1/sqrt(t)+average,2966,2.5216026349529825e-06
1.5,1.5,1/sqrt(t)+average,3000,2.5190162326916396e-06
1.5,1.5,1/sqrt(t)+average,3158,2.507210602789507e-06
1.5,1.5,1/sqrt(t)+average,3363,2.4923905208592658e-06
1.5,1.5,1/sqrt(t)+average,3581,2.477203227011227e-06
1.5,1.5,1/sqrt(t)+average,3813,2.4616393643390765e-06
1.5,1.5,1/sqrt(t)+average,4060,2.4456952018875275e-06
1.5,1.5,1/sqrt(t)+average,4323,2.4293721268706367e-06
1.5,1.5,1/sqrt(t)+average,4603,2.412676134616896e-06
1.5,1.5,1/sqrt(t)+average,4901,2.39561732047178e-06
1.5,1.5,1/sqrt(t)+average,5000,2.390101999487016e-06
1.5,1.5,1/sqrt(t)+average,5218,2.3782093786618308e-06
1.5,1.5,1/sqrt(t)+average,5556,2.3604175806023536e-06
1.5,1.5,1/sqrt(t)+average,5916,2.3422679380645583e-06
1.5,1.5,1/sqrt(t)+average,6300,2.3237410958649244e-06
1.5,1.5,1/sqrt(t)+average,6708,2.304917625742801e-06
1.5,1.5,1/sqrt(t)+average,7142,2.2857844352732395e-06
1.5,1.5,1/sqrt(t)+average,7605,2.2662957217717544e-06
1.5,1.5,1/sqrt(t)+average,8000,2.2503602204688893e-06
1.5,1.5,1/sqrt(t)+average,8098,2.2464992073828045e-06
1.5,1.5,1/sqrt(t)+average,8622,2.2264414040049855e-06
1.5,1.5,1/sqrt(t)+average,9181,2.206060570365388e-06
1.5,1.5,1/sqrt(t)+average,9776,2.185415495402701e-06
1.5,1.5,1/sqrt(t)+average,10000,2.1779030003068904e-06
1.5,1.5,1/sqrt(t)+average,10409,2.164529719923535e-06
1.5,1.5,1/sqrt(t)+average,11083,2.1433994290417655e-06
1.5,1.5,1/sqrt(t)+average,11801,2.1220295190352643e-06
1.5,1.5,1/sqrt(t)+average,12566,2.100432357622067e-06
1.5,1.5,1/sqrt(t)+average,13380,2.0786526512631185e-06
1.5,1.5,1/sqrt(t)+average,14247,2.056685414900337e-06
1.5,1.5,1/sqrt(t)+average,15170,2.0345587990746114e-06
1.5,1.5,1/sqrt(t)+average,16153,2.0122820960322483e-06
1.5,1.5,1/sqrt(t)+average,17199,1.9898926039391234e-06
1.5,1.5,1/sqrt(t)+average,18314,1.9673699141234346e-06
1.5,1.5,1/sqrt(t)+average,19500,1.9447815552999396e-06
1.5,1.5,1/sqrt(t)+average,20000,1.9356467429610627e-06
1.5,1.5,1/sqrt(t)+average,20763,1.9221199694881803e-06
1.5,1.5,1/sqrt(t)+average,22109,1.899388593517452e-06
1.5,1.5,1/sqrt(t)+average,23541,1.8766461585417425e-06
1.5,1.5,1/sqrt(t)+average,25066,1.8538896477752128e-06
1.5,1.5,1/sqrt(t)+average,26690,1.8311397286184154e-06
1.5,1.5,1/sqrt(t)+average,28419,1.8084218546853193e-06
1.5,1.5,1/sqrt(t)+average,30260,1.7857530063691305e-06
1.5,1.5,1/sqrt(t)+average,32221,1.7631443110833095e-06
1.5,1.5,1/sqrt(t)+average,34308,1.7406344955540745e-06
1.5,1.5,1/sqrt(t)+average,36531,1.7182228754250665e-06
1.5,1.5,1/sqrt(t)+average,38897,1.695945242848897e-06
1.5,1.5,1/sqrt(t)+average,41417,1.6738032154863833e-06
1.5,1.5,1/sqrt(t)+average,44101,1.6518145201078482e-06
1.5,1.5,1/sqrt(t)+average,46958,1.6300082748168422e-06
1.5,1.5,1/sqrt(t)+average,50000,1.6083935682898374e-06
1.5,3.0,constant+average,100,0.004953218969790509
1.5,3.0,constant+average,106,0.004624211384052986
1.5,3.0,constant+average,113,0.00428826730177922
1.5,3.0,constant+average,121,0.003956020382991652
1.5,3.0,constant+average,129,0.003668603669834432
1.5,3.0,constant+average,137,0.0034177704422095074
1.5,3.0,constant+average,146,0.0031714376660073726
1.5,3.0,constant+average,155,0.002956362508333007
1.5,3.0,constant+average,165,0.0027474912955693536
1.5,3.0,constant+average,176,0.002547745681411561
1.5,3.0,constant+average,187,0.002373756436549872
1.5,3.0,constant+average,199,0.002208015795588566
1.5,3.0,constant+average,212,0.0020517062181174936
1.5,3.0,constant+average,226,0.0019054619836867282
1.5,3.0,constant+average,241,0.001769492863989792
1.5,3.0,constant+average,256,0.0016510476803015062
1.5,3.0,constant+average,273,0.0015341192764688288
1.5,3.0,constant+average,291,0.0014266967137194927
1.5,3.0,constant+average,310,0.0013282007272067617
1.5,3.0,constant+average,330,0.0012380080331352873
1.5,3.0,constant+average,351,0.0011554829004735581
1.5,3.0,constant+average,374,0.0010768012047843575
1.5,3.0,constant+average,398,0.0010053672044080114
1.5,3.0,constant+average,424,0.0009380185263235077
1.5,3.0,constant+average,451,0.0008771169124911032
1.5,3.0,constant+average,480,0.0008200910294613229
1.5,3.0,constant+average,511,0.0007669930142751328
1.5,3.0,constant+average,545,0.0007163774624579732
1.5,3.0,constant+average,580,0.0006710689474359181
1.5,3.0,constant+average,617,0.000629293470266903
1.5,3.0,constant+average,657,0.0005899214240641255
1.5,3.0,constant+average,700,0.0005530793832249139
1.5,3.0,constant+average,745,0.0005194925753486388
1.5,3.0,constant+average,794,0.0004876364967426927
1.5,3.0,constant+average,845,0.00045874717205703595
1.5,3.0,constant+average,900,0.00043157488240155964
1.5,3.0,constant+average,958,0.00040658181580024457
1.5,3.0,constant+average,1000,0.0003904423043055536
1.5,3.0,constant+average,1020,0.0003832625974709834
1.5,3.0,constant+average,1086,0.00036159413062459965
1.5,3.0,constant+average,1157,0.0003412531143846218
1.5,3.0,constant+average,1232,0.00032249786058036526
1.5,3.0,constant+average,1311,0.00030522493722155567
1.5,3.0,constant+average,1396,0.00028896875733080984
1.5,3.0,constant+average,1487,0.0002737549290138461
1.5,3.0,constant+average,1583,0.0002597139200054265
1.5,3.0,constant+average,1686,0.00024652616515515507
1.5,3.0,constant+average,1795,0.0002343036119658654
1.5,3.0,constant+average,1911,0.00022290029140409343
1.5,3.0,constant+average,2000,0.0002150874251145862
1.5,3.0,constant+average,2035,0.00021221002712430451
1.5,3.0,constant+average,2167,0.00020222612061395354
1.5,3.0,constant+average,2307,0.00019292759291800378
1.5,3.0,constant+average,2457,0.00018417445634382945
1.5,3.0,constant+average,2616,0.00017601777607158386
1.5,3.0,constant+average,2785,0.00016838760541863307
1.5,3.0,constant+average,2966,0.00016119202054733274
1.5,3.0,constant+average,3000,0.00015993806696942717
1.5,3.0,constant+average,3158,0.00015446675534054897
1.5,3.0,constant+average,3363,0.00014813448393985636
1.5,3.0,constant+average,3581,0.0001421918623445874
1.5,3.0,constant+average,3813,0.0001366053425504128
1.5,3.0,constant+average,4060,0.00013134671696647757
1.5,3.0,constant+average,4323,0.00012639180049282933
1.5,3.0,constant+average,4603,0.00012171945613574473
1.5,3.0,constant+average,4901,0.00011731087953166358
1.5,3.0,constant+average,5000,0.00011595738305340569
1.5,3.0,constant+average,5218,0.0001131490782162823
1.5,3.0,constant+average,5556,0.000109207500684537
1.5,3.0,constant+average,5916,0.00010547540007868824
1.5,3.0,constant+average,6300,0.0001019334423140916
1.5,3.0,constant+average,6708,9.858175325557588e-05
1.5,3.0,constant+average,7142,9.540281444372572e-05
1.5,3.0,constant+average,7605,9.237619811270612e-05
1.5,3.0,constant+average,8000,9.004451714124261e-05
1.5,3.0,constant+average,8098,8.949760062588928e-05
1.5,3.0,constant+average,8622,8.676178545467598e-05
1.5,3.0,constant+average,9181,8.414960280353897e-05
1.5,3.0,constant+average,9776,8.165888286246128e-05
1.5,3.0,constant+average,10000,8.078831854910661e-05
1.5,3.0,constant+average,10409,7.928275168214213e-05
1.5,3.0,constant+average,11083,7.701177085698431e-05
1.5,3.0,constant+average,11801,7.48382858020957e-05
1.5,3.0,constant+average,12566,7.275597677757473e-05
1.5,3.0,constant+average,13380,7.076184384177714e-05
1.5,3.0,constant+average,14247,6.884851667695438e-05
1.5,3.0,constant+average,15170,6.701203057441491e-05
1.5,3.0,constant+average,16153,6.524711081584456e-05
1.5,3.0,constant+average,17199,6.35509773591054e-05
1.5,3.0,constant+average,18314,6.19167874535401e-05
1.5,3.0,constant+average,19500,6.034441989987058e-05
1.5,3.0,constant+average,20000,5.972623760529746e-05
1.5,3.0,constant+average,20763,5.88285302517845e-05
1.5,3.0,constant+average,22109,5.736498488510161e-05
1.5,3.0,constant+average,23541,5.595337423826475e-05
1.5,3.0,constant+average,25066,5.458951089745963e-05
1.5,3.0,constant+average,26690,5.3270939849891384e-05
1.5,3.0,constant+average,28419,5.1995640874871536e-05
1.5,3.0,constant+average,30260,5.076127024211523e-05
1.5,3.0,constant+average,32221,4.956535877548887e-05
1.5,3.0,constant+average,34308,4.840703875857025e-05
1.5,3.0,constant+average,36531,4.728353364163011e-05
1.5,3.0,constant+average,38897,4.619406902380244e-05
1.5,3.0,constant+average,41417,4.513631098669429e-05
1.5,3.0,constant+average,44101,4.41088701198885e-05
1.5,3.0,constant+average,46958,4.3110992964076284e-05
1.5,3.0,constant+average,50000,4.2141110735712655e-05
1.5,3.0,1/sqrt(t)+average,100,0.011318747523198593
1.5,3.0,1/sqrt(t)+average,106,0.010787532066851306
1.5,3.0,1/sqrt(t)+average,113,0.010235579071185504
1.5,3.0,1/sqrt(t)+average,121,0.009679001735737361
1.5,3.0,1/sqrt(t)+average,129,0.009187805384104932
1.5,3.0,1/sqrt(t)+average,137,0.008750812466027593
1.5,3.0,1/sqrt(t)+average,146,0.008313171856288552
1.5,3.0,1/sqrt(t)+average,155,0.007923350254007172
1.5,3.0,1/sqrt(t)+average,165,0.007537045408926661
1.5,3.0,1/sqrt(t)+average,176,0.007159621236486111
1.5,3.0,1/sqrt(t)+average,187,0.006823710385628063
1.5,3.0,1/sqrt(t)+average,199,0.0064967735469792206
1.5,3.0,1/sqrt(t)+average,212,0.006181476583149429
1.5,3.0,1/sqrt(t)+average,226,0.00587961344052461
1.5,3.0,1/sqrt(t)+average,241,0.005592268544855273
1.5,3.0,1/sqrt(t)+average,256,0.005336069196326851
1.5,3.0,1/sqrt(t)+average,273,0.005077126971031162
1.5,3.0,1/sqrt(t)+average,291,0.004833332247231839
1.5,3.0,1/sqrt(t)+average,310,0.0046042292054888495
1.5,3.0,1/sqrt(t)+average,330,0.004389214035660728
1.5,3.0,1/sqrt(t)+average,351,0.00418759094578639
1.5,3.0,1/sqrt(t)+average,374,0.003990504752382525
1.5,3.0,1/sqrt(t)+average,398,0.0038069978587788812
1.5,3.0,1/sqrt(t)+average,424,0.0036295380650857817
1.5,3.0,1/sqrt(t)+average,451,0.0034649277177156877
1.5,3.0,1/sqrt(t)+average,480,0.003306828705431751
1.5,3.0,1/sqrt(t)+average,511,0.0031557886733039595
1.5,3.0,1/sqrt(t)+average,545,0.003007985876808042
1.5,3.0,1/sqrt(t)+average,580,0.0028721624992470458
1.5,3.0,1/sqrt(t)+average,617,0.0027436631791571886
1.5,3.0,1/sqrt(t)+average,657,0.0026193792417221248
1.5,3.0,1/sqrt(t)+average,700,0.0024999905039708166
1.5,3.0,1/sqrt(t)+average,745,0.0023882703083668005
1.5,3.0,1/sqrt(t)+average,794,0.002279501565948547
1.5,3.0,1/sqrt(t)+average,845,0.0021782572055740164
1.5,3.0,1/sqrt(t)+average,900,0.0020805378310366444
1.5,3.0,1/sqrt(t)+average,958,0.001988309253017286
1.5,3.0,1/sqrt(t)+average,1000,0.0019274517601016313
1.5,3.0,1/sqrt(t)+average,1020,0.0019000302196530733
1.5,3.0,1/sqrt(t)+average,1086,0.0018158870858992582
1.5,3.0,1/sqrt(t)+average,1157,0.0017348697700414043
1.5,3.0,1/sqrt(t)+average,1232,0.001658264871512996
1.5,3.0,1/sqrt(t)+average,1311,0.0015859517596459518
1.5,3.0,1/sqrt(t)+average,1396,0.0015162144563928613
1.5,3.0,1/sqrt(t)+average,1487,0.0014493444930740716
1.5,3.0,1/sqrt(t)+average,1583,0.0013861369246821419
1.5,3.0,1/sqrt(t)+average,1686,0.001325358638355729
1.5,3.0,1/sqrt(t)+average,1795,0.001267710978051331
1.5,3.0,1/sqrt(t)+average,1911,0.001212696852764129
1.5,3.0,1/sqrt(t)+average,2000,0.001174273042098121
1.5,3.0,1/sqrt(t)+average,2035,0.0011599649761438078
1.5,3.0,1/sqrt(t)+average,2167,0.001109634246555295
1.5,3.0,1/sqrt(t)+average,2307,0.0010617545727006964
1.5,3.0,1/sqrt(t)+average,2457,0.0010157418824847716
1.5,3.0,1/sqrt(t)+average,2616,0.000971993425012946
1.5,3.0,1/sqrt(t)+average,2785,0.0009302651578232367
1.5,3.0,1/sqrt(t)+average,2966,0.0008901644172507722
1.5,3.0,1/sqrt(t)+average,3000,0.0008830991047307576
1.5,3.0,1/sqrt(t)+average,3158,0.0008519955704211011
1.5,3.0,1/sqrt(t)+average,3363,0.0008154217557119662
1.5,3.0,1/sqrt(t)+average,3581,0.0007805159858170258
1.5,3.0,1/sqrt(t)+average,3813,0.0007471699987688027
1.5,3.0,1/sqrt(t)+average,4060,0.000715296669325023
1.5,3.0,1/sqrt(t)+average,4323,0.000684824236656713
1.5,3.0,1/sqrt(t)+average,4603,0.0006556918970896004
1.5,3.0,1/sqrt(t)+average,4901,0.0006278464783088889
1.5,3.0,1/sqrt(t)+average,5000,0.0006192276001477985
1.5,3.0,1/sqrt(t)+average,5218,0.0006012399709777091
1.5,3.0,1/sqrt(t)+average,5556,0.0005757562625624686
1.5,3.0,1/sqrt(t)+average,5916,0.0005513745761480887
1.5,3.0,1/sqrt(t)+average,6300,0.000528013215751004
1.5,3.0,1/sqrt(t)+average,6708,0.0005057144800759176
1.5,3.0,1/sqrt(t)+average,7142,0.00048440020212953393
1.5,3.0,1/sqrt(t)+average,7605,0.0004639671440295003
1.5,3.0,1/sqrt(t)+average,8000,0.0004481393043293952
1.5,3.0,1/sqrt(t)+average,8098,0.0004444165607133664
1.5,3.0,1/sqrt(t)+average,8622,0.00042574079546878234
1.5,3.0,1/sqrt(t)+average,9181,0.0004078338649445919
1.5,3.0,1/sqrt(t)+average,9776,0.0003907028099630187
1.5,3.0,1/sqrt(t)+average,10000,0.000384704369641786
1.5,3.0,1/sqrt(t)+average,10409,0.0003743200495180121
1.5,3.0,1/sqrt(t)+average,11083,0.0003586378350000246
1.5,3.0,1/sqrt(t)+average,11801,0.00034361844910836184
1.5,3.0,1/sqrt(t)+average,12566,0.0003292314237058628
1.5,3.0,1/sqrt(t)+average,13380,0.0003154674384075754
1.5,3.0,1/sqrt(t)+average,14247,0.0003022853632392965
1.5,3.0,1/sqrt(t)+average,15170,0.00028966611589890885
1.5,3.0,1/sqrt(t)+average,16153,0.0002775802961782876
1.5,3.0,1/sqrt(t)+average,17199,0.00026601441232201113
1.5,3.0,1/sqrt(t)+average,18314,0.00025492627342551947
1.5,3.0,1/sqrt(t)+average,19500,0.0002443184528470104
1.5,3.0,1/sqrt(t)+average,20000,0.00024016640657458603
1.5,3.0,1/sqrt(t)+average,20763,0.0002341572634638863
1.5,3.0,1/sqrt(t)+average,22109,0.00022441671419990333
1.5,3.0,1/sqrt(t)+average,23541,0.00021509493786449474
1.5,3.0,1/sqrt(t)+average,25066,0.00020616438717709534
1.5,3.0,1/sqrt(t)+average,26690,0.00019760860526500467
1.5,3.0,1/sqrt(t)+average,28419,0.00018941354004748084
1.5,3.0,1/sqrt(t)+average,30260,0.0001815627062333174
1.5,3.0,1/sqrt(t)+average,32221,0.00017403862833075993
1.5,3.0,1/sqrt(t)+average,34308,0.00016683366127678365
1.5,3.0,1/sqrt(t)+average,36531,0.0001599280429636513
1.5,3.0,1/sqrt(t)+average,38897,0.0001533142745318545
1.5,3.0,1/sqrt(t)+average,41417,0.00014697522094937835
1.5,3.0,1/sqrt(t)+average,44101,0.0001408994936533135
1.5,3.0,1/sqrt(t)+average,46958,0.00013507935006956643
1.5,3.0,1/sqrt(t)+average,50000,0.00012950219897276373
1.9,1.9,constant+average,100,1.7334206505032055e-06
1.9,1.9,constant+average,106,1.7324586103482776e-06
1.9,1.9,constant+average,113,1.7313378951341459e-06
1.9,1.9,constant+average,121,1.7300592672818912e-06
1.9,1.9,constant+average,129,1.7287829682509518e-06
1.9,1.9,constant+average,137,1.7275089913616992e-06
1.9,1.9,constant+average,146,1.7260785350180105e-06
1.9,1.9,constant+average,155,1.7246510005390394e-06
1.9,1.9,constant+average,165,1.723068267388861e-06
1.9,1.9,constant+average,176,1.7213314008415987e-06
1.9,1.9,constant+average,187,1.7195988564573346e-06
1.9,1.9,constant+average,199,1.7177137196515403e-06
1.9,1.9,constant+average,212,1.7156772497968154e-06
1.9,1.9,constant+average,226,1.7134908023772012e-06
1.9,1.9,constant+average,241,1.71115582696911e-06
1.9,1.9,constant+average,256,1.708828726064055e-06
1.9,1.9,constant+average,273,1.7062008183355664e-06
1.9,1.9,constant+average,291,1.7034292423811526e-06
1.9,1.9,constant+average,310,1.700515801928289e-06
1.9,1.9,constant+average,330,1.6974623828421563e-06
1.9,1.9,constant+average,351,1.6942709503926462e-06
1.9,1.9,constant+average,374,1.6907926880902242e-06
1.9,1.9,constant+average,398,1.6871821433770273e-06
1.9,1.9,constant+average,424,1.6832923939031498e-06
1.9,1.9,constant+average,451,1.679276711055122e-06
1.9,1.9,constant+average,480,1.6749902131119748e-06
1.9,1.9,constant+average,511,1.670438342048124e-06
1.9,1.9,constant+average,545,1.6654815671864636e-06
1.9,1.9,constant+average,580,1.6604175170687589e-06
1.9,1.9,constant+average,617,1.6551061254430913e-06
1.9,1.9,constant+average,657,1.6494121339845944e-06
1.9,1.9,constant+average,700,1.6433461111930999e-06
1.9,1.9,constant+average,745,1.6370582179690801e-06
1.9,1.9,constant+average,794,1.630280552830011e-06
1.9,1.9,constant+average,845,1.6233017217106348e-06
1.9,1.9,constant+average,900,1.6158604929294663e-06
1.9,1.9,constant+average,958,1.6081073566972903e-06
1.9,1.9,constant+average,1000,1.6025523275080066e-06
1.9,1.9,constant+average,1020,1.5999243808466658e-06
1.9,1.9,constant+average,1086,1.5913303835379912e-06
1.9,1.9,constant+average,1157,1.5822173442948745e-06
1.9,1.9,constant+average,1232,1.5727364741875445e-06
1.9,1.9,constant+average,1311,1.562908211647289e-06
1.9,1.9,constant+average,1396,1.552510690691859e-06
1.9,1.9,constant+average,1487,1.5415778770783187e-06
1.9,1.9,constant+average,1583,1.5302613031553292e-06
1.9,1.9,constant+average,1686,1.5183605201956941e-06
1.9,1.9,constant+average,1795,1.5060303385623642e-06
1.9,1.9,constant+average,1911,1.4931972733176675e-06
1.9,1.9,constant+average,2000,1.4835473653670514e-06
1.9,1.9,constant+average,2035,1.4797980847482058e-06
1.9,1.9,constant+average,2167,1.4658842730912577e-06
1.9,1.9,constant+average,2307,1.4515073183093263e-06
1.9,1.9,constant+average,2457,1.4365212414557575e-06
1.9,1.9,constant+average,2616,1.4210890855626712e-06
1.9,1.9,constant+average,2785,1.4051760852518177e-06
1.9,1.9,constant+average,2966,1.3886681061117273e-06
1.9,1.9,constant+average,3000,1.3856268257688043e-06
1.9,1.9,constant+average,3158,1.3717334764154392e-06
1.9,1.9,constant+average,3363,1.3542753689462918e-06
1.9,1.9,constant+average,3581,1.336379886159834e-06
1.9,1.9,constant+average,3813,1.3180524176659943e-06
1.9,1.9,constant+average,4060,1.2993068111648343e-06
1.9,1.9,constant+average,4323,1.2801646966687932e-06
1.9,1.9,constant+average,4603,1.2606547019738911e-06
1.9,1.9,constant+average,4901,1.2408115731135742e-06
1.9,1.9,constant+average,5000,1.2344186309209152e-06
1.9,1.9,constant+average,5218,1.2206752191069439e-06
1.9,1.9,constant+average,5556,1.2002307035499343e-06
1.9,1.9,constant+average,5916,1.1795341115018804e-06
1.9,1.9,constant+average,6300,1.1585901630211644e-06
1.9,1.9,constant+average,6708,1.1375161256721715e-06
1.9,1.9,constant+average,7142,1.1163223657763791e-06
1.9,1.9,constant+average,7605,1.0949839182675517e-06
1.9,1.9,constant+average,8000,1.077731272370276e-06
1.9,1.9,constant+average,8098,1.0735783067423355e-06
1.9,1.9,constant+average,8622,1.0521784291308643e-06
1.9,1.9,constant+average,9181,1.0307403762996143e-06
1.9,1.9,constant+average,9776,1.0093468846712743e-06
1.9,1.9,constant+average,10000,1.0016437642610342e-06
1.9,1.9,constant+average,10409,9.880400433514513e-07
1.9,1.9,constant+average,11083,9.668317567549736e-07
1.9,1.9,constant+average,11801,9.457412315130807e-07
1.9,1.9,constant+average,12566,9.247930312326404e-07
1.9,1.9,constant+average,13380,9.040399086577977e-07
1.9,1.9,constant+average,14247,8.834839888580159e-07
1.9,1.9,constant+average,15170,8.631564505315983e-07
1.9,1.9,constant+average,16153,8.430683398553715e-07
1.9,1.9,constant+average,17199,8.232533494393369e-07
1.9,1.9,constant+average,18314,8.036918887187941e-07
